Audio File Location,Whisper Transcribe Text,Model Generated Text
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_nVgnEpm.wav, Hello my account number is 985682139,985682139
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_9ORNwZp.wav," Okay, 4025837008816769.",CC No,4025837008816769
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_J4EPxlj.wav, My credit card number is 4026837108827989.,CC No,4026837108827989
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_cQU4MoS.wav, My credit card number is 3859-3964-2740-7395.,CC No,3859396427407395
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_vOspicV.wav, My credit card number is 8365962794719572.,CC No,8365962794719572
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_2CupCcg.wav, My card expiry date is November 29th.,Exp Date,11/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_FYvmuEr.wav, My card expiry date is 7-25.,Exp Date,07/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_IKUvFpo.wav, My card expiry date is 3-20-26.,Exp Date,03/26
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_Y9FJk25.wav, My card expiry date is April 2027.,Exp Date,04/27
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_wJ6Cr7q.wav, My car expiry date is Feb 2028.,Exp Date,02/28
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_Pddv3zq.wav," Hello, my car expiry date is March 29.",Exp Date,03/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_qlkicRY.wav," Hello, my car expired. It is September 2029.",Exp Date,09/29
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_odsW47T.wav, My card expiry date is September 29.,Exp Date,09/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_vkK1cp4.wav, I'm giving you my CBC and that is 321.,CVC/CVV,321
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_GmikDlh.wav, I'm giving you information about my CVC and that is 112.,CVC/CVV,112
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_bjDK82c.wav, My CBC is 296.,CVC/CVV,296
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_OGBcVEX.wav, My CVV is 296.,CVC/CVV,296
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_mgJPuEj.wav, My CVC is 594.,CVC/CVV,594
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_y6Xwnr4.wav, My cvb is 638,CVC/CVV,638
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_MGexCo0.wav, My patient account number is 458-3672.,Pt Acc,4583672
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_XLCCd5k.wav, My patient account number is 7925648.,Pt Acc,7925648
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_V1dEBQV.wav, 5618528,Pt Acc,5618528
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_bWCDgx3.wav, The patient's number is BT5618528.,Pt Acc,5618528
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_JdjOxZT.wav, The patient account number is PT56185LXR.,Pt Acc,56185LXR
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_2p1wmeY.wav, The patient account number is 7836ABC92001.,Pt Acc,7836ABC92001
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_1PXPTxS.wav, The patient account number is LMN78369200.,Pt Acc,LMN78369200
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_6jqRL47.wav, The patient's account number is PT5618528.,Pt Acc,5618528
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_VrzRqtC.wav, My credit card number is 8472-852-705839953.,Pt Acc,8472852705839953
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_428d2XP.wav, My credit card number is 7366994253017593.,CC No,7366994253017593
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_V57vO0B.wav, March 26th,Exp Date,03/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_tzI1d0L.wav, My card expiry date is June 27.,Exp Date,06/27
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_ZXJsGwJ.wav, October 28th.,Exp Date,10/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_kcPVMpD.wav, 525,Exp Date,05/25
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_09jDgsx.wav, My expiry date is 2729.,Exp Date,27/29
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_ukXc0eq.wav," Hello, my credit card number is 934-856-2139-8456.",CC No,93485621398456
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_V1QJC1V.wav, hello please listen my account number that is five two one eight nine five,CC No,521895
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_fwtvuxt.wav," Hello, my account number is 123456",CC No,123456
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_MXrlL1r.wav, okay so credit card number is one nine one eight four five one two three nine,CC No,Account number is not valid
/data/Aneeq/payment_automation_ivr/uploaded_files/recorded_audio_q4mcSyQ.wav," Patient count is 191, 234, 5, 8.",Pt Acc,19123458
/home/adam/adam/IVR/Patient_Payment_IVR/uploaded_files/IVR test_pBvD2dR.mp3," Hello, my name is Adam. My patient account number is 343469420.",Pt Acc,Extracted Account Number: 123456789
/home/adam/adam/IVR/Patient_Payment_IVR/uploaded_files/IVR test.mp3," Hello, my name is Adam. My patient account number is 343469420.",Pt Acc,343469420
/home/adam/adam/IVR/Patient_Payment_IVR/uploaded_files/recorded_audio.wav," Hi, my name is Adam. My account number is 42042069.",Pt Acc,42042069
/home/adam/adam/IVR/Patient_Payment_IVR/uploaded_files/recorded_audio_rnfuRmL.wav," Hi, my name is Adam. My account number is 42042069.",Pt Acc,42042069
/home/adam/adam/IVR/Patient_Payment_IVR/uploaded_files/Recording.mp3,"{'status': 'Success', 'message': '12345'}","{'status': 'Failed', 'message': 'Account number is not valid'}"
